year,site_id,watershed_name,watershed_area_sqmi,flow_gage_name,gaged_area_sqmi,gaged_annual_mean_cfs,area_ratio_watershed_to_gaged,watershed_annual_mean_cfs,watershed_annual_runoff_cfs_per_sqmi
2014,,Red Lion Creek,10.96,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,32.8,0.53,17.54,1.6
2015,,Red Lion Creek,10.96,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,31,0.53,16.57,1.5
2016,,Red Lion Creek,10.96,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,24.3,0.53,12.99,1.2
2017,,Red Lion Creek,10.96,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,20.2,0.53,10.8,1
2018,,Red Lion Creek,10.96,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,43.5,0.53,23.26,2.1
2019,,Red Lion Creek,10.96,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.9,0.53,18.12,1.7
1990,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.94,2.26,11.17,1.2
1991,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,3.47,2.26,7.85,0.9
1992,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,3.04,2.26,6.87,0.7
1993,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.74,2.26,10.72,1.2
1994,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.76,2.26,13.02,1.4
1995,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,3.38,2.26,7.64,0.8
1996,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,9.35,2.26,21.14,2.3
1997,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.34,2.26,9.81,1.1
1998,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.24,2.26,9.59,1
1999,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.84,2.26,10.94,1.2
2000,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,6.48,2.26,14.65,1.6
2001,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.56,2.26,10.31,1.1
2002,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,2.76,2.26,6.24,0.7
2003,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,10.2,2.26,23.06,2.5
2004,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,7.06,2.26,15.96,1.7
2005,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.7,2.26,12.89,1.4
2006,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.86,2.26,13.25,1.4
2007,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.02,2.26,11.35,1.2
2008,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,2.82,2.26,6.38,0.7
2009,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.83,2.26,10.92,1.2
2010,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,6,2.26,13.57,1.5
2011,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,8.3,2.26,18.77,2
2012,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,3.55,2.26,8.03,0.9
2013,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.59,2.26,12.64,1.4
2014,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.35,2.26,12.1,1.3
2015,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.25,2.26,11.87,1.3
2016,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.41,2.26,9.97,1.1
2017,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,4.01,2.26,9.07,1
2018,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,10.2,2.26,23.06,2.5
2019,,Delaware Bay,9.18,"BLACKBIRD CREEK AT BLACKBIRD, DE",4.06,5.58,2.26,12.62,1.4
1990,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,34.2,0.32,10.86,1.7
1991,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,25.2,0.32,8,1.2
1992,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,25.9,0.32,8.22,1.3
1993,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,37.9,0.32,12.04,1.8
1994,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.5,0.32,10.64,1.6
1995,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,21.4,0.32,6.8,1
1996,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,50.9,0.32,16.16,2.5
1997,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,23.8,0.32,7.56,1.2
1998,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,22.8,0.32,7.24,1.1
1999,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,29.3,0.32,9.3,1.4
2000,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,26.1,0.32,8.29,1.3
2001,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,19.3,0.32,6.13,0.9
2002,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,20.1,0.32,6.38,1
2003,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,53.5,0.32,16.99,2.6
2004,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,53.2,0.32,16.89,2.6
2005,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,27.9,0.32,8.86,1.4
2006,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,27.6,0.32,8.76,1.3
2007,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,22.2,0.32,7.05,1.1
2008,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,18.8,0.32,5.97,0.9
2009,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,24.2,0.32,7.68,1.2
2010,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,29.5,0.32,9.37,1.4
2011,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,44.9,0.32,14.26,2.2
2012,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,23.1,0.32,7.34,1.1
2013,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.7,0.32,10.7,1.6
2014,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,32.8,0.32,10.42,1.6
2015,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,31,0.32,9.84,1.5
2016,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,24.3,0.32,7.72,1.2
2017,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,20.2,0.32,6.41,1
2018,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,43.5,0.32,13.81,2.1
2019,,Delaware River,6.51,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",20.5,33.9,0.32,10.77,1.7
1990,,Assawoman Bay (in DE),3.35,"STOCKLEY BRANCH AT STOCKLEY, DE",5.24,5.94,0.64,3.8,1.1
1991,,Assawoman Bay (in DE),3.35,"STOCKLEY BRANCH AT STOCKLEY, DE",5.24,6.33,0.64,4.05,1.2
1992,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,80.3,0.05,4.36,1.3
1993,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,100.3,0.05,5.45,1.6
1994,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,127.3,0.05,6.91,2.1
1995,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,64.2,0.05,3.49,1
1996,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,119.9,0.05,6.51,1.9
1997,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,84.1,0.05,4.57,1.4
1998,,Assawoman Bay (in DE),3.35,MILLSBORO POND OUTLET AT MILLSBORO,61.7,124.6,0.05,6.77,2
1999,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.09,1.5,4.62,1.4
2000,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,5.07,1.5,7.58,2.3
2001,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,2.84,1.5,4.25,1.3
2002,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.68,1.5,5.5,1.6
2003,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,7.18,1.5,10.74,3.2
2004,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.85,1.5,5.76,1.7
2005,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,4.78,1.5,7.15,2.1
2006,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,2.91,1.5,4.35,1.3
2007,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,2.61,1.5,3.9,1.2
2008,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.68,1.5,5.5,1.6
2009,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,4.93,1.5,7.37,2.2
2010,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.23,1.5,4.83,1.4
2011,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,2.7,1.5,4.04,1.2
2012,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,4.55,1.5,6.8,2
2013,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,5.65,1.5,8.45,2.5
2014,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.26,1.5,4.88,1.5
2015,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,4.62,1.5,6.91,2.1
2016,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,4.63,1.5,6.92,2.1
2017,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.97,1.5,5.94,1.8
2018,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,8.41,1.5,12.58,3.8
2019,,Assawoman Bay (in DE),3.35,BEAVERDAM DITCH NEAR MILLVILLE,2.24,3.44,1.5,5.14,1.5
